stockid,make,model,grade,chassis,year,month,kms,color,doors,cc,trans,fueltype,condition,ac,equip,jpy fob
1169512,Toyota,Hiace Van,LongDX GL Package,GDH201V-1119628,2025,,17,white,0,2800,IAT,D,4,,,2755000
1168556,Toyota,Aqua,G’sレザーセレクション,NHP10-6592475,2017,,98,blue,0,1500,FAT,-,4,AAC,"ps, pw, abs",730000
321136,Nissan,March,S,K13-094514,2021,,7,silver k23,0,1200,FAT,P,4.5,,,595000
1168375,Toyota,Corolla Sports,Hybrid G,ZWE211H-1012018,2018,,57,black,0,1800,FAT,H,4,,,1290000
1166879,Toyota,Vellfire Hybrid,X 4WD,AYH30W-0003920,2015,,99,black,0,2500,IAT,H,4,,,1690000
1166877,Toyota,Corolla Touring,Hybrid G 4WD,ZWE215W-0006400,2023,,82,white,0,1800,FAT,H,3.5,,,1400000
320637,Nissan,Nv200 Vanette Van,DX,VM20-192597,2022,,31,white,5,1600,AT,P,3.5,,,1200000
1165726,Suzuki,Ignis,HYBRID MX,FF21S-124616,2016,,74,orange,0,1200,FAT,H,,,,350000
1165080,Subaru,Forester,アドバンス 4WD,SKE-015912,2019,,89,silver,0,2000,FAT,-,4,AAC,"ps, pw, ew",1330000
1164312,Mazda,Demio,13- Skyactive,DEJFS-136281,2013,,62,brown,0,1300,AT,P,4,,,260000
1163311,Toyota,C-hr,G,ZYX10-2016800,2017,,51,silver,0,1800,FAT,-,4.5,,,1380000
1162086,Nissan,X-trail,X_e-4ORCE,SNT33-004794,2022,,80,gray,0,1500,FAT,P,5,,,2100000
318545,Mazda,Mazda3,20S L Package,BPFP-116352,2021,,30,silver,5,2000,FAT,P,4.5,AAC,"abs, aw, ps, pw, sm, tr",1450000
318546,Toyota,C-hr,G Mode Nero Safety,ZYX11-2040207,2021,3,63,black,5,1797,FAT,P,4.5,AAC,"abs, aw, ps, pw, es, s",1880000
318423,BMW,5 Series,523i_M Sports,WBA-JA12080BJ155,2020,,47,black,5,2000,AT,P,4.5,AAC,"abs, aw, ps, pw, es, r",1840000
318421,BMW,3 Series,320i_Mスポーツエディション,WBA-8A19090NU774,2018,,72,black,5,2000,FAT,P,4.5,AAC,"abs, aw, ps, pw, es, r",1350000
317214,Toyota,Alphard Hybrid,X 4WD,AYH30W-0132485,2021,,84,pearl,5,2500,IAT,H,3.5,WAC,"abs, ps, pw, em, tv, na",2580000
316929,Toyota,Harrier,Hybrid Z,AXUH80-0043256,2022,,58,black,5,2500,FAT,H,5,,,2700000
1153771,Honda,CBR650R,UNKNOWN,RH03-1201,2023,,26,white,0,650,MT,G,5,UNKNOWN,,822000
1153108,Honda,CBR650R,UNKNOWN,RH03E-1200214,2023,,3,black,0,650,MT,G,5,UNKNOWN,,980000
1153106,BMW,NINE TSCRAMBLER,UNKNOWN,WB10L7105P6G08,2023,,10,gray,0,1170,MT,G,5,UNKNOWN,,1110000
1150840,HONDA,REBEL250,A,MC49-1410498,2024,,28,MATBLACK,0,250,MT,P,5,UNKNOWN,,452000
1150839,DUCATI,STREETFIGHTER,V4S,ZDM1F00AAMB0028,2021,,19,RED,0,1100,MT,P,5,UNKNOWN,,1522000
315020,Toyota,Harrier Hybrid 4wd,ELEGANCE,AVU65W-0038177,2015,,94,silver,5,2500,IA,H,4,,,1145000
